epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2071.63,1.18345,0.96836,1.45126,0.87172,0.76667,0.84148,0.45974,1.01987,0.96417,1.17889,0.0008318,0.0008318,0.0008318
61,2106.21,1.19008,0.95575,1.45428,0.89899,0.76784,0.84519,0.46543,1.01781,0.82731,1.17316,0.000812,0.000812,0.000812
62,2140.63,1.20232,0.97669,1.45412,0.86285,0.8,0.85376,0.47318,1.01382,0.97577,1.17702,0.0007922,0.0007922,0.0007922
63,2175.03,1.17912,0.97411,1.42955,0.85986,0.78824,0.84477,0.47161,1.01531,1.037,1.18419,0.0007724,0.0007724,0.0007724
64,2209.26,1.168,0.93758,1.43354,0.84295,0.79608,0.84729,0.46731,1.01066,0.97656,1.18541,0.0007526,0.0007526,0.0007526
65,2243.61,1.15141,0.94524,1.42885,0.88479,0.78308,0.85705,0.47149,1.03437,0.96049,1.21762,0.0007328,0.0007328,0.0007328
66,2277.84,1.15442,0.92639,1.42336,0.88228,0.78235,0.8531,0.46689,1.02669,0.92569,1.20286,0.000713,0.000713,0.000713
67,2312.43,1.132,0.91304,1.41399,0.88656,0.77059,0.84035,0.46843,1.02335,0.97619,1.20186,0.0006932,0.0006932,0.0006932
68,2346.74,1.14034,0.91719,1.41007,0.88307,0.78039,0.84866,0.4696,1.003,0.79624,1.18109,0.0006734,0.0006734,0.0006734
69,2380.91,1.14632,0.92004,1.42089,0.87336,0.77451,0.83881,0.47548,0.99406,0.91471,1.17739,0.0006536,0.0006536,0.0006536
70,2415.52,1.12855,0.90958,1.39879,0.86201,0.75882,0.83404,0.47016,1.01299,0.83987,1.18987,0.0006338,0.0006338,0.0006338
71,2450.01,1.13112,0.90738,1.40622,0.86394,0.76863,0.83896,0.47131,0.9934,0.91544,1.17007,0.000614,0.000614,0.000614
72,2484.25,1.1158,0.89491,1.40046,0.86754,0.77059,0.84134,0.47297,0.99673,0.86165,1.18292,0.0005942,0.0005942,0.0005942
73,2518.69,1.10311,0.87995,1.38738,0.87106,0.79608,0.85506,0.47319,1.00675,0.8844,1.18667,0.0005744,0.0005744,0.0005744
74,2553.17,1.11257,0.87562,1.38826,0.87769,0.78431,0.84503,0.47345,0.99663,0.9198,1.17986,0.0005546,0.0005546,0.0005546
75,2587.35,1.09603,0.87313,1.38792,0.85802,0.79412,0.84751,0.47876,1.00765,1.02277,1.19057,0.0005348,0.0005348,0.0005348
76,2621.75,1.09751,0.87499,1.37838,0.86926,0.77647,0.84296,0.47764,1.00353,0.90506,1.18963,0.000515,0.000515,0.000515
77,2656.1,1.0887,0.85633,1.37902,0.88177,0.77502,0.84671,0.48138,1.01509,0.89859,1.19669,0.0004952,0.0004952,0.0004952
78,2690.58,1.10769,0.86558,1.38595,0.87007,0.7902,0.85617,0.47707,1.01069,0.85725,1.1942,0.0004754,0.0004754,0.0004754
79,2725.05,1.0786,0.83273,1.37097,0.87123,0.75686,0.84162,0.47503,1.01612,0.94562,1.2014,0.0004556,0.0004556,0.0004556
80,2759.13,1.08048,0.84359,1.37219,0.87586,0.77451,0.84579,0.47407,1.00029,0.86802,1.18746,0.0004358,0.0004358,0.0004358
81,2793.97,1.07048,0.83244,1.35807,0.89889,0.76697,0.85407,0.48309,1,0.84615,1.19463,0.000416,0.000416,0.000416
82,2828.69,1.06603,0.82919,1.36007,0.87281,0.7902,0.85038,0.47719,0.98978,0.92012,1.18574,0.0003962,0.0003962,0.0003962
83,2863.07,1.07153,0.82788,1.36039,0.86888,0.79256,0.86306,0.4854,0.98199,0.85264,1.17659,0.0003764,0.0003764,0.0003764
84,2897.27,1.05187,0.80856,1.35141,0.87168,0.7992,0.85689,0.48686,0.98848,0.78379,1.18233,0.0003566,0.0003566,0.0003566
85,2932.01,1.05652,0.81362,1.3537,0.86584,0.8098,0.86158,0.48394,0.99167,0.80854,1.18798,0.0003368,0.0003368,0.0003368
86,2966.52,1.04711,0.80321,1.34654,0.88717,0.78625,0.85894,0.48095,1.00277,0.88319,1.19934,0.000317,0.000317,0.000317
87,3000.86,1.03817,0.78861,1.33585,0.87559,0.78656,0.8503,0.48093,1.00094,0.85505,1.20193,0.0002972,0.0002972,0.0002972
88,3035.1,1.03939,0.78476,1.34613,0.84934,0.79589,0.84381,0.4797,0.992,0.83325,1.20133,0.0002774,0.0002774,0.0002774
89,3069.41,1.02666,0.79768,1.33108,0.86717,0.79804,0.84795,0.48031,0.98611,0.8478,1.19892,0.0002576,0.0002576,0.0002576
90,3103.69,1.02449,0.76993,1.33382,0.85493,0.80588,0.85044,0.48531,0.99415,0.78941,1.20476,0.0002378,0.0002378,0.0002378
91,3138.92,0.98108,0.59035,1.3573,0.86311,0.79123,0.8473,0.47626,1.00421,0.94751,1.20628,0.000218,0.000218,0.000218
92,3172.65,0.93542,0.55603,1.33241,0.83842,0.79216,0.85131,0.47701,1.0048,0.92951,1.20566,0.0001982,0.0001982,0.0001982
93,3206.09,0.94182,0.54083,1.33798,0.85291,0.78449,0.84851,0.48043,1.0112,0.87766,1.2066,0.0001784,0.0001784,0.0001784
94,3239.84,0.93006,0.54223,1.32788,0.8713,0.78627,0.85188,0.48137,1.01508,0.88972,1.21195,0.0001586,0.0001586,0.0001586
95,3273.35,0.9183,0.52369,1.31224,0.85116,0.79614,0.85842,0.47955,1.02114,0.87682,1.21985,0.0001388,0.0001388,0.0001388
96,3307.09,0.90292,0.52116,1.30267,0.90047,0.76278,0.85482,0.4831,1.01413,0.85399,1.21308,0.000119,0.000119,0.000119
97,3341.07,0.90011,0.51541,1.30407,0.86617,0.79948,0.85861,0.48261,1.00889,0.84579,1.20936,9.92e-05,9.92e-05,9.92e-05
98,3374.84,0.89513,0.50954,1.30586,0.87391,0.80179,0.86052,0.48241,1.00846,0.82921,1.21176,7.94e-05,7.94e-05,7.94e-05
99,3408.32,0.89171,0.50592,1.29751,0.87007,0.79804,0.86074,0.48135,1.00803,0.84902,1.21425,5.96e-05,5.96e-05,5.96e-05
100,3442.1,0.89309,0.50826,1.3049,0.87052,0.79608,0.85778,0.48166,1.00623,0.84305,1.21224,3.98e-05,3.98e-05,3.98e-05
