epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1164.42,1.14734,0.90422,1.42386,0.84928,0.81176,0.84825,0.45474,1.61201,0.86716,1.92802,0.0008516,0.0008516,0.0008516
60,1184.26,1.12725,0.87814,1.41107,0.86661,0.76433,0.84734,0.46141,1.60702,0.84333,1.93385,0.0008318,0.0008318,0.0008318
61,1203.93,1.13106,0.86261,1.39796,0.87395,0.78851,0.86267,0.47885,1.5404,0.80769,1.87359,0.000812,0.000812,0.000812
62,1223.48,1.13773,0.87802,1.41438,0.84668,0.80127,0.84985,0.45973,1.60464,0.83631,1.95678,0.0007922,0.0007922,0.0007922
63,1243.44,1.12522,0.85617,1.39579,0.89045,0.78099,0.84939,0.46983,1.56435,0.83947,1.88522,0.0007724,0.0007724,0.0007724
64,1263.24,1.11456,0.85563,1.3951,0.8464,0.78873,0.83454,0.46878,1.59102,0.84933,1.9187,0.0007526,0.0007526,0.0007526
65,1282.79,1.10907,0.84625,1.39625,0.8432,0.78627,0.84261,0.46681,1.5894,0.85895,1.91335,0.0007328,0.0007328,0.0007328
66,1302.38,1.09066,0.829,1.37657,0.87768,0.79608,0.86345,0.47895,1.52956,0.7817,1.88155,0.000713,0.000713,0.000713
67,1321.77,1.1112,0.83221,1.3855,0.9304,0.76019,0.85832,0.47249,1.58112,0.79552,1.91924,0.0006932,0.0006932,0.0006932
68,1341.33,1.08552,0.82194,1.38242,0.85739,0.78982,0.84639,0.46914,1.59378,0.83743,1.93068,0.0006734,0.0006734,0.0006734
69,1360.9,1.08282,0.82271,1.3714,0.8723,0.77843,0.835,0.46813,1.6179,0.84258,1.9689,0.0006536,0.0006536,0.0006536
70,1380.45,1.07612,0.80877,1.36704,0.87206,0.77516,0.83687,0.4607,1.64655,0.85658,1.98494,0.0006338,0.0006338,0.0006338
71,1400.32,1.06764,0.80359,1.36412,0.86944,0.79647,0.85076,0.47448,1.60482,0.82423,1.96047,0.000614,0.000614,0.000614
72,1420.13,1.0734,0.80191,1.36528,0.86781,0.81373,0.86513,0.47435,1.5994,0.79886,1.92256,0.0005942,0.0005942,0.0005942
73,1439.69,1.06215,0.78864,1.35244,0.89126,0.79412,0.85858,0.47118,1.58615,0.80089,1.93748,0.0005744,0.0005744,0.0005744
74,1459.38,1.0618,0.79045,1.35737,0.89137,0.76863,0.85159,0.46464,1.57196,0.83732,1.90574,0.0005546,0.0005546,0.0005546
75,1479.08,1.04728,0.77439,1.34503,0.89587,0.80392,0.85283,0.46931,1.51267,0.78997,1.86192,0.0005348,0.0005348,0.0005348
76,1498.76,1.04431,0.77213,1.34762,0.9044,0.8,0.86124,0.46504,1.53385,0.80416,1.88371,0.000515,0.000515,0.000515
77,1518.45,1.03825,0.77316,1.34367,0.86568,0.79613,0.85116,0.46668,1.56924,0.82288,1.89042,0.0004952,0.0004952,0.0004952
78,1538.05,1.04047,0.77538,1.34026,0.87976,0.79412,0.84767,0.45683,1.61658,0.82344,1.94554,0.0004754,0.0004754,0.0004754
79,1557.92,1.02981,0.75206,1.33831,0.86687,0.79156,0.83643,0.46553,1.55492,0.80026,1.91463,0.0004556,0.0004556,0.0004556
80,1577.48,1.03527,0.75547,1.3399,0.88386,0.81961,0.85872,0.46746,1.51023,0.76836,1.87757,0.0004358,0.0004358,0.0004358
81,1597.07,1.02301,0.75113,1.32267,0.85342,0.82194,0.84744,0.4655,1.5787,0.78462,1.93927,0.000416,0.000416,0.000416
82,1616.87,0.99463,0.72983,1.30431,0.88673,0.81176,0.85441,0.46814,1.53939,0.77642,1.89324,0.0003962,0.0003962,0.0003962
83,1636.63,1.00423,0.72159,1.30695,0.86078,0.82439,0.86929,0.47219,1.53784,0.79663,1.91333,0.0003764,0.0003764,0.0003764
